# species annotated 	correction	domestic/wild status

# vaguely poultry 
poultry	poultry	domestic
domesticbird	domestic_bird	domestic
domesticpoultry	poultry	domestic
domestic_bird	domestic_bird	domestic

# chicken
broiler	chicken	domestic
broilerchicken	chicken	domestic
ch	chicken	domestic
ck	chicken	domestics
chicken	chicken	domestic
chiken	chicken	domestic
fancychicken	chicken	domestic
gallusgallus	chicken	domestic
gallus_gallus	chicken	domestic
hen	chicken	domestic
layinghen	chicken	domestic
layer	chicken	domestic
layerchicken	chicken	domestic
rooster	rooster	domestic
silkiechicken	silkie_chicken	domestic
silkychicken	silkie_chicken	domestic
village_chicken	chicken	domestic
villagechicken	chicken	domestic
waterchicken	Common_moorhen	wild

# duck
# apparently only mallards and muscovy ducks have been domesticated. cool!
americanblackduck	American_black_duck	wild
anasacuta	Northern_pintail	wild
anasplatyrhynchos	mallard	
baikalteal	baikal_teal	wild
black_duck	American_black_duck	wild
blackduck	American_black_duck	wild
blacknestedgrebe	black-necked_grebe	wilds
cascadeduck	cascade_duck	domestic
common_goldeneye	common_goldeneye	wild
commongoldeneye	common_goldeneye	wild
common_pochard	common_pochard	wild
commonpochard	common_pochard	wild
commonteal	Eurasian_teal	wild
dack	duck	
domestic_duck	duck	domestic
domesticduck	duck	domestic
domestic_green_winged_teal	green-winged_teal	domestic
domesticgreen-wingedteal	green-winged_teal	domestic
domesticmallardduck	mallard	domestic
duck	duck	
gadwall_duck	Gadwall	wild
gadwallduck	Gadwall	wild
goldeneyeduck	Goldeneye	wild
goosander	goosander	wild
greaterscaup	greater_scaup	wild
europeanteal	Eurasian_teal	wild
eurasianteal	Eurasian_teal	wild
mallard	mallard	
mallard_duck	mallard	
mallardduck	mallard	
mandarinduck	Mandarin_duck	wild
mandarin_duck	Mandarin_duck	wild
mergusalbellus	smew	wild
migratoryduck	duck	wild
musdk	Muscovy_duck	
muscovy	Muscovy_duck	
muscovyduck	Muscovy_duck	
muscovy_duck	Muscovy_duck	
northernpintail	Northern_pintail	wild
pekingduck	Peking_duck	domestic
pekinduck	American_Pekin_duck	domestic
pintail	Northern_pintail	wild
pochard	common_pochard	wild
rbpochard	red-chested_pochard	wild
rubbyshelduck	Ruddy_shelduck	wild
ruddy_shelduck	Ruddy_shelduck	wild
ruddyshelduck	Ruddy_shelduck	wild
teal	teal	wild
tufted_duck	Tufted_duck	wild
tuftedduck	Tufted_duck	wild
wild_duck	duck	wild
wildduck	duck	wild
wood_duck	Wood_duck	wild
woodduck	Wood_duck	wild
yellow_billed_duck	yellow-billed_duck	wild
yellowbilledduck	yellow-billed_duck	wild

# geese and swans
# apparently, there are 2 main types of geese that have been domesticated. The Greylag goose (Anser anser) and the Swan goose (Anser cygnoides)
# apparently the Emden goose is a German breed of domestic goose, and the American buff goose is a US domesticated goose, and sebastopol goose is a European domesticated goose
americanbuffgoose	american_buff_goose	domestic
ansercygnoides	swan_goose	
anseralbifrons	greater_white-fronted_goose	wild
anseranser	greylag_goose	
anseranserdomesticus	domestic_goose	domestic
goose	goose	
geese	goose	
bar_headed_goose	bar-headed_goose	wild
bar-headedgoose	bar-headed_goose	wild
barheadedgoose	bar-headed_goose	wild
barnaclegoose	barnacle_goose	wild
bean_goose	bean_goose	wild
beangoose	bean_goose	wild
black-headedgoose	black-headed_goose	wild
brentgoose	brent_goose	wild
brantaleucopsis	barnacle_goose	wild
canada_goose	canada_goose	wild
canadagoose	canada_goose	wild
cygnus_cygnus	whooper_swan	wild
cygnuscygnus	whooper_swan	wild
cignusolor	mute_swan	wild
cygnus_olor	mute_swan	wild
cygnusolor	mute_swan	wild
domesticgoose	goose	domestic
embdengoose	embden_goose	domestic
greaterwhitefrontedgoose	greater_white-fronted_goose	wild
greygoose	grey_goose	
greylaggoose	greylag_goose	
graylaggoose	greylag_goose	
mute_swan	mute_swan	wild
muteswan	mute_swan	wild
sebastopolgoose	sebastopol_goose	domestic
snowgoose	snow_goose	wild
tundraswan	tundra_swan	wild
whitefrontedgoose	greater_white-fronted_goose	wild
whistlingswan	tundra_swan	wild
whooper_swan	whooper_swan	wild
whooperswan	whooper_swan	wild
whoopingswan	whooper_swan	wild
wildgoose	goose	wild
wildswan	swan	wild


# other fowl 
commonpheasant	common_pheasant	wild
